day,run_id,n_students,n_teachers,class_size_cap,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
59,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9242660864730106,0.902097935802389,0.9256732004819264,0.9448487976808431,0.9427540941568426,0.7724812488250865,1.0,1.0,43,0.24533333333333338
60,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.926096780368903,0.9049932099402602,0.9276043753829434,0.9458543142940065,0.9465040941568427,0.7824812488250865,1.0,1.0,52,0.29166666666666674
61,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9278465764210225,0.9068267117977586,0.9291604706895675,0.9468387433303653,0.9501033114587955,0.7924812488250865,1.0,1.0,51,0.2923333333333334
62,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9297260570283892,0.9097747278822416,0.931126608586513,0.9477561650075728,0.9534311634720467,0.8024812488250865,1.0,1.0,44,0.25100000000000006
63,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9313709223401162,0.9121387297828178,0.9324686832559617,0.94813125677806,0.9566093428995498,0.8124812488250865,1.0,1.0,52,0.286
64,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9329463360106949,0.9148594280750265,0.9339219338426675,0.94894634686561,0.959761990670637,0.8224812488250866,1.0,1.0,49,0.28
65,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9344937184446354,0.9178363639902675,0.9358540282479728,0.9494526843848559,0.9627304213036741,0.8324812488250866,1.0,1.0,48,0.26833333333333337
66,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9359969171338426,0.920048077231648,0.9372675644997891,0.9501067154057667,0.9655106709563055,0.8424812488250866,1.0,1.0,46,0.26300000000000007
67,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9373354406223515,0.9220962986796123,0.9386684416641936,0.9508355385617675,0.968119682181088,0.8524812488250866,1.0,1.0,49,0.2793333333333334
68,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9384146223120827,0.9241150408970022,0.9396496958350127,0.9515125268363218,0.970462197376532,0.8624812488250866,1.0,1.0,57,0.326
69,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9397907909227744,0.9262307225219593,0.9409750344098308,0.9522899936909519,0.973012197376532,0.8724812488250866,1.0,1.0,43,0.24599999999999997
70,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9410866883061575,0.9275665137544143,0.9420811666914446,0.9532956076192719,0.9752730185242773,0.8824812488250866,1.0,1.0,44,0.25133333333333335
71,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.942165635120853,0.9297577607216009,0.9433977812779303,0.9538223874043266,0.9774212392131447,0.8924812488250866,1.0,1.0,50,0.28633333333333333
72,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9430958156589545,0.9307227698078437,0.9444146712438342,0.9544772962345269,0.979130777926819,0.9024812488250866,1.0,1.0,55,0.30933333333333335
73,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9443320857497447,0.9326834182459434,0.9457765508647108,0.9550303967317478,0.981160256981823,0.9124812488250866,1.0,1.0,39,0.222
74,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9451854916477972,0.9338497073716843,0.946736764969589,0.9552476858354974,0.9828269236484898,0.9224812488250866,1.0,1.0,53,0.3026666666666667
75,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.946026455308177,0.9355144163643776,0.9474854169690476,0.9558222150510906,0.9844435903151563,0.9324812488250867,1.0,1.0,52,0.297
