run_id,n_students,n_teachers,class_size_cap,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,n_days,K_mean_start,A_mean_start,K_mean_end,K_p10_end,K_p50_end,K_p90_end,A_mean_end,A_p10_end,A_p50_end,A_p90_end,K_mean_gain,A_mean_gain,incidents_avg_per_day,incidents_total,time_lost_avg,time_lost_max
29,120,6,16,30.0,0.05,0.002,90,16009,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4313861132548635,0.4867221151634306,0.9680073494023684,0.9653321981052162,0.9684206206982999,0.9697575436160968,0.9964261906954648,0.9938,1.0,1.0,0.5366212361475049,0.5097040755320341,43.0,3870,0.21494444444444444,0.30999999999999994
30,120,6,16,30.0,0.05,0.002,90,16010,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.39737997862832114,0.43315110559000314,0.9640900482633509,0.9608579419571069,0.9645247946061232,0.9668015322639422,0.99519593102446,0.992,1.0,1.0,0.5667100696350298,0.5620448254344569,43.84444444444444,3946,0.2187222222222222,0.295
31,120,6,18,30.0,0.05,0.002,90,18001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4040716984320907,0.47710092797397613,0.953642032208111,0.94827395555662,0.9541843065236858,0.9583699728917056,0.9984412017463273,0.994,1.0,1.0,0.5495703337760203,0.5213402737723511,47.27777777777778,4255,0.2680185185185185,0.3263333333333333
32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4013480907896195,0.4566099838405226,0.9555057816787512,0.9498769854407288,0.9560847368908547,0.9600757520617279,0.9967077847299031,0.9937936231203559,1.0,1.0,0.5541576908891317,0.5400978008893804,47.78888888888889,4301,0.27111111111111114,0.326
33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4152005730396858,0.4537681156384787,0.9544859310990397,0.9491089218576367,0.9553442040165044,0.9588759618158417,0.9958522086516918,0.988,1.0,1.0,0.5392853580593538,0.5420840930132131,46.855555555555554,4217,0.26554444444444447,0.3263333333333333
34,120,6,18,30.0,0.05,0.002,90,18004,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.42144052567037626,0.46801437967981474,0.9587805151745095,0.9544430665805265,0.9590870547308004,0.9626514830485768,0.9974949393095617,0.994,1.0,1.0,0.5373399895041332,0.5294805596297469,47.17777777777778,4246,0.268162962962963,0.33199999999999996
35,120,6,18,30.0,0.05,0.002,90,18005,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4275537292087865,0.4351938411794078,0.9552159833672829,0.9491391836074542,0.9556809636596139,0.960216036599616,0.9951849720796221,0.988,1.0,1.0,0.5276622541584963,0.5599911309002144,47.32222222222222,4259,0.2678740740740741,0.37166666666666665
36,120,6,18,30.0,0.05,0.002,90,18006,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.39264781816632194,0.4309794282623303,0.9500428947698735,0.942338486742484,0.9510684747327651,0.9557150059858237,0.994207855445097,0.9938,1.0,1.0,0.5573950766035516,0.5632284271827668,47.36666666666667,4263,0.2692111111111111,0.32566666666666666
37,120,6,18,30.0,0.05,0.002,90,18007,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4374106189992467,0.45985419230500446,0.9541443953261176,0.9487805781011012,0.9554184027077908,0.9586924508393667,0.987317204955768,0.988,1.0,1.0,0.5167337763268709,0.5274630126507636,47.0,4230,0.26635555555555557,0.32633333333333336
38,120,6,18,30.0,0.05,0.002,90,18008,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.3975477172572069,0.45197951241429735,0.9542126433198725,0.9471198122217381,0.9554242103190679,0.9587032117559043,0.999036585411576,0.998,1.0,1.0,0.5566649260626657,0.5470570729972787,47.72222222222222,4295,0.27092592592592596,0.3486666666666666
39,120,6,18,30.0,0.05,0.002,90,18009,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.452061613771626,0.47913887895986734,0.96006475077654,0.9549087261500997,0.961142892002142,0.9635217615441604,0.9962214610264742,0.988,1.0,1.0,0.508003137004914,0.517082582066607,45.65555555555556,4109,0.25982222222222223,0.30866666666666664
40,120,6,18,30.0,0.05,0.002,90,18010,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4527217885621103,0.4826472151356963,0.9479207866863154,0.9409674238582736,0.9484530710919274,0.9544168823139707,0.99871084155769,0.9976,1.0,1.0,0.4951989981242051,0.5160636264219937,46.43333333333333,4179,0.2642777777777778,0.33199999999999996
41,120,6,20,30.0,0.05,0.002,90,20001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.38952898584447765,0.4699398989685674,0.9415724818756291,0.9309925947479165,0.9429114997875668,0.9488053228350424,0.9989105054970565,1.0,1.0,1.0,0.5520434960311515,0.5289706065284892,51.18888888888889,4607,0.32785185185185184,0.39333333333333337
42,120,6,20,30.0,0.05,0.002,90,20002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4361894383619505,0.4641864825804703,0.9357921158818837,0.9251981050635307,0.937181691655133,0.9453019075493044,0.9989642072621125,1.0,1.0,1.0,0.4996026775199332,0.5347777246816423,51.0,4590,0.326,0.4
43,120,6,20,30.0,0.05,0.002,90,20003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.3987548768313437,0.4632984235039831,0.9264411033900612,0.9130132139336523,0.9291797515589721,0.9387815987221515,0.9981849761251792,0.9998,1.0,1.0,0.5276862265587176,0.5348865526211961,51.022222222222226,4592,0.32725925925925925,0.38
44,120,6,20,30.0,0.05,0.002,90,20004,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4216274421861035,0.45297940007069193,0.9354861099170321,0.9226781290322481,0.9381132264929555,0.9438819877148221,0.9986708886868381,1.0,1.0,1.0,0.5138586677309286,0.5456914886161461,51.666666666666664,4650,0.33044444444444443,0.39333333333333337
45,120,6,20,30.0,0.05,0.002,90,20005,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.3983310481009096,0.4565003045122172,0.9267576420545512,0.9147816501712434,0.9280954809352422,0.9391148535708124,0.9991103235672566,1.0,1.0,1.0,0.5284265939536417,0.5426100190550394,51.24444444444445,4612,0.328,0.38
46,120,6,20,30.0,0.05,0.002,90,20006,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4433510247144151,0.4496127062963467,0.937393190670985,0.9274565466900293,0.9379258296493682,0.9473603117435437,0.9987310968832562,1.0,1.0,1.0,0.4940421659565699,0.5491183905869095,51.51111111111111,4636,0.3305925925925926,0.3866666666666667
47,120,6,20,30.0,0.05,0.002,90,20007,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.3917651115568466,0.46676599163724203,0.9390295910994262,0.9292289803078909,0.9401644250290744,0.9489953586660774,0.9989764730453616,1.0,1.0,1.0,0.5472644795425796,0.5322104814081197,51.31111111111111,4618,0.3297777777777778,0.38
48,120,6,20,30.0,0.05,0.002,90,20008,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4296867546188633,0.4583365090835063,0.9376371190142748,0.9280250950609576,0.9386693916600204,0.9465504891108992,0.998748691254858,1.0,1.0,1.0,0.5079503643954115,0.5404121821713517,52.077777777777776,4687,0.3317777777777778,0.38666666666666666
49,120,6,20,30.0,0.05,0.002,90,20009,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4147212562976572,0.473923613890233,0.9319550288533277,0.9188254818306122,0.9331489003267843,0.942928186200415,0.9945502835800439,0.9916,1.0,1.0,0.5172337725556705,0.520626669689811,50.71111111111111,4564,0.3262222222222222,0.38
